granularity,target_project,model_name,best_params,smote_k,f1_1,mcc,auc,pr_auc,fixed_family_and_hyperparameters
file,packer,logistic_regression,"{""model__C"": 0.1}",7,0.5041322314,0.08635649588,0.5411764706,0.375810839,True
file,rclone,logistic_regression,"{""model__C"": 0.1}",7,0.3731343284,-0.001889661503,0.4926624738,0.4020761902,True
file,terraform,logistic_regression,"{""model__C"": 10.0}",7,0.5146341463,0.1060944566,0.5621714849,0.3888732588,True
file,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.4195402299,0.001933824468,0.5268421792,0.2935985518,True
file,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.4532110092,0.0395346323,0.5657650064,0.3551744729,True
method,caddy,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.658084449,0.1250209044,0.5757478319,0.552832128,True
method,compose,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.6234567901,0.134495151,0.609864614,0.5881762759,True
method,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.6963292547,0.06976044268,0.5882447665,0.6502176057,True
method,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.7413127413,0.08174268599,0.5940333105,0.6529819899,True
method,gin,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.5714285714,0.06122652986,0.4897168803,0.394948396,True
method,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.5550094405,0.1186647882,0.5194773413,0.378234595,True
method,grafana,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.5131985397,0.07442933416,0.5842776497,0.4023237361,True
method,influxdb,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.7361512208,0.275612277,0.6950153174,0.7373449536,True
method,kubernetes,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.6588921283,-0.01009928709,0.5720941865,0.5971315796,True
method,minio,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.705337721,0.1725375147,0.6043229958,0.6267396954,True
method,nomad,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.571577575,0.0532264462,0.5612064875,0.4520659198,True
method,packer,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.5093803297,0.04689018271,0.4433020097,0.3084484476,True
