granularity,target_project,model_name,best_params,source_conflict_identity_keys,source_conflict_rows_removed,target_conflict_identity_keys,target_conflict_rows_removed,cleaned_source_rows,cleaned_target_rows,posthoc_benchmark_cleaning_sensitivity,identity_definition,original_full_f1_1,original_model_retained_test_f1_1,conflict_cleaned_f1_1,cleaned_minus_original_full_f1_1,cleaned_minus_original_retained_test_f1_1,original_full_mcc,original_model_retained_test_mcc,conflict_cleaned_mcc,cleaned_minus_original_full_mcc,cleaned_minus_original_retained_test_mcc,original_full_auc,original_model_retained_test_auc,conflict_cleaned_auc,cleaned_minus_original_full_auc,cleaned_minus_original_retained_test_auc,original_full_pr_auc,original_model_retained_test_pr_auc,conflict_cleaned_pr_auc,cleaned_minus_original_full_pr_auc,cleaned_minus_original_retained_test_pr_auc
method,caddy,naive_bayes,"{""model__var_smoothing"": 1e-09}",3565,11640,39,156,114920,1311,True,project/file_path/method_name/sha,0.658084449,0.6391995291,0.641310708,-0.01677374101,0.002111178882,0.1250209044,0.1229684256,0.1260059017,0.0009849973617,0.00303747614,0.5757478319,0.5721854227,0.5788046647,0.00305683285,0.006619241983,0.552832128,0.5270980435,0.5407524648,-0.01207966322,0.01365442122
method,compose,naive_bayes,"{""model__var_smoothing"": 1e-09}",3603,11794,1,2,115962,269,True,project/file_path/method_name/sha,0.6234567901,0.6253869969,0.6519337017,0.02847691153,0.02654670475,0.134495151,0.1368825254,0.1472300769,0.0127349259,0.01034755148,0.609864614,0.6108710106,0.5966312057,-0.01323340837,-0.01423980496,0.5881762759,0.5887686227,0.544387264,-0.04378901185,-0.04438135865
method,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",3604,11796,0,0,115595,636,True,project/file_path/method_name/sha,0.6963292547,0.6963292547,0.7028199566,0.006490701889,0.006490701889,0.06976044268,0.06976044268,0.05824330769,-0.01151713499,-0.01151713499,0.5882447665,0.5882447665,0.6006642512,0.0124194847,0.0124194847,0.6502176057,0.6502176057,0.6610906532,0.01087304754,0.01087304754
method,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",3557,11544,47,252,114475,1756,True,project/file_path/method_name/sha,0.7413127413,0.7257824143,0.7257824143,-0.01553032701,0,0.08174268599,0.08421308438,0.08421308438,0.002470398387,0,0.5940333105,0.5957029725,0.5895607704,-0.004472540163,-0.006142202169,0.6529819899,0.6365447143,0.6307416299,-0.02224036001,-0.005803084396
method,gin,naive_bayes,"{""model__var_smoothing"": 1e-09}",3594,11773,10,23,116078,153,True,project/file_path/method_name/sha,0.5714285714,0.5685279188,0.5612244898,-0.01020408163,-0.007303428986,0.06122652986,0.07551203215,0.04874280716,-0.01248372271,-0.02676922499,0.4897168803,0.4871703493,0.4900213828,0.0003045024094,0.0028510335,0.394948396,0.3847802131,0.3893422605,-0.005606135506,0.004562047434
method,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",2177,6669,1427,5127,67221,49010,True,project/file_path/method_name/sha,0.5550094405,0.5200457018,0.3358455933,-0.2191638471,-0.1842001085,0.1186647882,0.1112684242,-0.04652052476,-0.1651853129,-0.1577889489,0.5194773413,0.5214794956,0.4898730143,-0.02960432693,-0.03160648125,0.378234595,0.3472974176,0.32170649,-0.05652810504,-0.02559092759
method,grafana,naive_bayes,"{""model__var_smoothing"": 1e-09}",3347,11046,257,750,105215,11016,True,project/file_path/method_name/sha,0.5131985397,0.496161739,0.4938685353,-0.01933000443,-0.002293203695,0.07442933416,0.07569391059,0.06787298238,-0.006556351787,-0.007820928215,0.5842776497,0.5843267169,0.5817368532,-0.002540796586,-0.00258986376,0.4023237361,0.3840425387,0.3825405933,-0.01978314277,-0.001501945398
method,influxdb,naive_bayes,"{""model__var_smoothing"": 1e-09}",3582,11561,22,235,113615,2616,True,project/file_path/method_name/sha,0.7361512208,0.7153800825,0.7124164001,-0.02373482068,-0.002963682382,0.275612277,0.27165453,0.2552217503,-0.02039052665,-0.01643277973,0.6950153174,0.6916728802,0.6800315964,-0.014983721,-0.01164128373,0.7373449536,0.7101424857,0.6884550898,-0.04888986371,-0.02168739588
method,kubernetes,naive_bayes,"{""model__var_smoothing"": 1e-09}",3603,11792,1,4,115020,1211,True,project/file_path/method_name/sha,0.6588921283,0.6580796253,0.6573099415,-0.001582186759,-0.0007696837723,-0.01009928709,-0.01065170654,-0.01617663209,-0.006077345004,-0.005524925549,0.5720941865,0.5714553443,0.5722104578,0.0001162713038,0.0007551134312,0.5971315796,0.5957754564,0.5998241362,0.002692556576,0.004048679784
method,minio,naive_bayes,"{""model__var_smoothing"": 1e-09}",3057,9664,547,2132,105023,11208,True,project/file_path/method_name/sha,0.705337721,0.686342357,0.6857914276,-0.0195462934,-0.0005509294049,0.1725375147,0.1709687898,0.1649190701,-0.00761844459,-0.00604971973,0.6043229958,0.6010966173,0.6074710881,0.003148092302,0.006374470833,0.6267396954,0.5966011075,0.6028650354,-0.02387465994,0.006263927959
method,nomad,naive_bayes,"{""model__var_smoothing"": 1e-09}",3554,11651,50,145,113435,2796,True,project/file_path/method_name/sha,0.571577575,0.5626034197,0.5560812691,-0.01549630583,-0.006522150612,0.0532264462,0.05817691273,0.03674038561,-0.01648606059,-0.02143652712,0.5612064875,0.5641091646,0.5511478121,-0.01005867543,-0.01296135249,0.4520659198,0.444018364,0.4390687203,-0.01299719943,-0.004949643678
method,packer,naive_bayes,"{""model__var_smoothing"": 1e-09}",3591,11765,13,31,114869,1362,True,project/file_path/method_name/sha,0.5093803297,0.5049562682,0.5064027939,-0.002977535786,0.001446525725,0.04689018271,0.04912776102,0.05549250015,0.008602317444,0.006364739129,0.4433020097,0.4439836672,0.4447901946,0.001488184814,0.0008065273341,0.3084484476,0.3049561186,0.3064454535,-0.002002994117,0.001489334888
method,rclone,naive_bayes,"{""model__var_smoothing"": 1e-09}",3600,11788,4,8,115731,500,True,project/file_path/method_name/sha,0.7692307692,0.7708894879,0.7634408602,-0.005789909016,-0.007448627656,0.2186901765,0.2224088933,0.1856771045,-0.03301307196,-0.03673178885,0.6829442123,0.6843050543,0.6808485403,-0.002095672037,-0.003456514004,0.7512360912,0.7529439703,0.759524191,0.008288099819,0.006580220663
method,terraform,naive_bayes,"{""model__var_smoothing"": 1e-09}",3512,11579,92,217,110214,6017,True,project/file_path/method_name/sha,0.5294852574,0.5237290339,0.5220444791,-0.007440778245,-0.00168455481,0.03885072228,0.039968913,0.0318770137,-0.006973708581,-0.008091899295,0.5498590854,0.5507710922,0.5478563816,-0.002002703828,-0.00291471065,0.4044978605,0.399956039,0.4008843951,-0.003613465426,0.0009283560885
method,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",2521,9104,1083,2692,93113,23118,True,project/file_path/method_name/sha,0.4274852331,0.3901073262,0.390264884,-0.03722034908,0.0001575578678,-0.0009017756523,0.002072980653,0.002233708726,0.003135484378,0.0001607280723,0.5196193848,0.5366057429,0.5353581794,0.01573879465,-0.001247563485,0.2943973621,0.2748773713,0.2728780487,-0.02151931332,-0.001999322594
method,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",3593,11774,11,22,112979,3252,True,project/file_path/method_name/sha,0.4025122884,0.4011004127,0.4006622517,-0.001850036711,-0.0004381609991,0.006673287723,0.00812644112,0.00776532928,0.001092041557,-0.0003611118401,0.4937743018,0.4950600197,0.4871614595,-0.006612842221,-0.007898560166,0.2745522885,0.2738744982,0.2601525503,-0.01439973818,-0.01372194795
