target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling,always_positive_f1_1,majority_f1_1,f1_gap_to_majority,minority_count,adequacy
traefik,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.465279870090438,0.0253936752000547,23,0,,,0.3289686626452847,0.504449596356505,0.7385892116182573,0.1088463106400326,0.1897317463137324,0.2802107342772473,0.9000528820729773,0.4273697426239799,0.2802107342772473,0.9000528820729773,0.4273697426239799,0.0129346179502238,0.5334005910805858,0.5334005910805858,0.2980944208991997,534,4372,189,1702,6797,4906,1891,0.2782109754303369,723,6074,file,15,34359,10030,24329,0.2919176925987368,6797,1891,4906,0.2782109754303369,smote,0.4353130755064456,0.0,0.4273697426239799,1891,PRIMARY
vault,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.46491525242681,0.0384456825961537,23,0,,,0.3782383419689119,0.5172030651340996,0.7450980392156863,0.1688888888888889,0.2753623188405797,0.3091133004926108,0.8655172413793103,0.455535390199637,0.3091133004926108,0.8655172413793103,0.455535390199637,0.0431879892564735,0.5791034482758621,0.5791034482758621,0.3650542703538803,114,561,39,251,965,675,290,0.3005181347150259,153,812,file,15,40191,11631,28560,0.2893931477196387,965,290,675,0.3005181347150259,smote,0.4621513944223108,0.0,0.455535390199637,290,PRIMARY
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6001711481098478,0.092047732828151,9,0,,,0.547375596455351,0.5475965666831468,0.6356589147286822,0.2234332425068119,0.3306451612903225,0.5285359801488834,0.8717598908594816,0.6580844490216272,0.5285359801488834,0.8717598908594816,0.6580844490216272,0.1250209043566101,0.5757478318730461,0.5757478318730461,0.552832127979708,164,570,94,639,1467,734,733,0.4996591683708248,258,1209,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,smote,0.6663636363636364,0.0,0.6580844490216272,733,PRIMARY
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5990821837662242,0.0909060585643933,9,0,,,0.5498154981549815,0.5604869527240965,0.631578947368421,0.3380281690140845,0.4403669724770642,0.517948717948718,0.7829457364341085,0.6234567901234568,0.517948717948718,0.7829457364341085,0.6234567901234568,0.1344951510128325,0.6098646140408341,0.6098646140408341,0.5881762758970792,48,94,28,101,271,142,129,0.4760147601476014,76,195,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,smote,0.6449999999999999,0.0,0.6234567901234568,129,PRIMARY
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5974677314864648,0.0935246030520923,9,0,,,0.5707547169811321,0.5253019323671497,0.5154639175257731,0.181159420289855,0.2680965147453083,0.5807050092764379,0.8694444444444445,0.696329254727475,0.5807050092764379,0.8694444444444445,0.696329254727475,0.0697604426845317,0.5882447665056361,0.5882447665056361,0.650217605690427,50,226,47,313,636,276,360,0.5660377358490566,97,539,method,15,127391,48428,78963,0.3801524440502076,636,360,276,0.5660377358490566,smote,0.7228915662650602,0.7228915662650602,-0.02656231153758526,276,PRIMARY
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.592626199887651,0.0728184218469226,9,0,,,0.599601593625498,0.5169256470061886,0.5977011494252874,0.0633373934226552,0.1145374449339207,0.5996876626756897,0.970513900589722,0.7413127413127413,0.5996876626756897,0.970513900589722,0.7413127413127413,0.0817426859919838,0.5940333105188466,0.5940333105188466,0.6529819899440414,52,769,35,1152,2008,821,1187,0.5911354581673307,87,1921,method,15,126019,47601,78418,0.3777287551877097,2008,1187,821,0.5911354581673307,smote,0.7430359937402191,0.7430359937402191,-0.0017232524274778394,821,PRIMARY
gin,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6065073358475865,0.0919331289262678,9,0,,,0.4545454545454545,0.5213675213675213,0.6666666666666666,0.1538461538461538,0.25,0.4210526315789473,0.8888888888888888,0.5714285714285714,0.4210526315789473,0.8888888888888888,0.5714285714285714,0.0612265298642204,0.4897168803418803,0.4897168803418803,0.3949483959970681,16,88,8,64,176,104,72,0.4090909090909091,24,152,method,15,127851,48716,79135,0.3810373012334671,176,72,104,0.4090909090909091,smote,0.5806451612903226,0.0,0.5714285714285714,72,EXPLORATORY
gitea,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5836050839282714,0.0838024114301191,9,0,,,0.4514657258436929,0.5428868974300591,0.7650174396072859,0.175212284387112,0.2851227732306211,0.3991507888611087,0.9105615104730062,0.5550094404651302,0.3991507888611087,0.9105615104730062,0.5550094404651302,0.1186647881690145,0.5194773412613323,0.5194773412613323,0.3782345950363764,5922,27877,1819,18519,54137,33799,20338,0.3756765243733491,7741,46396,method,15,73890,28450,45440,0.385031804033022,54137,20338,33799,0.3756765243733491,smote,0.5461698556562605,0.0,0.5550094404651302,20338,PRIMARY
grafana,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6101525843279187,0.0939910554814368,9,0,,,0.4106748257691654,0.5266942450707605,0.7449367088607595,0.1526984950700571,0.2534453057708871,0.3588258393873945,0.9006899950714637,0.5131985397360292,0.3588258393873945,0.9006899950714637,0.5131985397360292,0.074429334164734,0.5842776497404143,0.5842776497404143,0.4023237360709914,1177,6531,403,3655,11766,7708,4058,0.3448920618731939,1580,10186,method,15,116261,44730,71531,0.3847377882522944,11766,4058,7708,0.3448920618731939,smote,0.512891809908999,0.0,0.5131985397360292,4058,PRIMARY
influxdb,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5944192415069021,0.0761832390347212,9,0,,,0.6474921080322694,0.6158481222038322,0.69375,0.3543495610534716,0.4690966719492868,0.6341022161917684,0.8773466833541927,0.736151220792859,0.6341022161917684,0.8773466833541927,0.736151220792859,0.2756122769623342,0.6950153174309068,0.6950153174309068,0.7373449535549297,444,809,196,1402,2851,1253,1598,0.5605050859347598,640,2211,method,15,125176,47190,77986,0.3769891992075158,2851,1598,1253,0.5605050859347598,smote,0.7183636772308384,0.7183636772308384,0.017787543562020613,1253,PRIMARY
